Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
BIS-220-01,BUSINESS TECHNOLOGY APPLICATI,3.0,0.0,WALS,104,MWF,9:30 AM,10:20 AM,"Kulsum, Ummee",Open,,,,MC,25,25
BIS-220-02,BUSINESS TECHNOLOGY APPLICATI,3.0,0.0,WALS,104,MWF,10:30 AM,11:20 AM,"Kulsum, Ummee",Open,,,,MC,25,25
BIS-220-03,BUSINESS TECHNOLOGY APPLICATI,3.0,0.0,WALS,104,MWF,11:30 AM,12:20 PM,"Kulsum, Ummee",Open,,,,MC,25,25
BIS-220-04,BUSINESS TECHNOLOGY APPLICATI,3.0,0.0,WALS,104,MWF,1:30 PM,2:20 PM,"Kulsum, Ummee",Open,,,,MC,25,25
BIS-310-01,BUSINESS INFORMATION SYSTEMS,3.0,0.0,SWAN,109,MWF,8:30 AM,9:20 AM,"Case, Carl",Open,,,,MC,25,25
BIS-310-02,BUSINESS INFORMATION SYSTEMS,3.0,0.0,SWAN,109,MWF,9:30 AM,10:20 AM,"Case, Carl",Open,,,,MC,25,25
BIS-310-03,BUSINESS INFORMATION SYSTEMS,3.0,0.0,SWAN,109,MWF,10:30 AM,11:20 AM,"Case, Carl",Open,,,,MC,25,25
BIS-420-01,INFO & DECISION SUPPORT SYS,3.0,0.0,WALS,104,TT,4:00 PM,5:15 PM,"Jahed, Mohammed",Open,BIS 310,,,MC,25,25
