Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
WS-101-01,INTRO TO WOMEN'S STUDIES,3.0,0.0,PLAS,307,MWF,1:30 PM,2:20 PM,"Matz, Lauren",Open,,,,MC,22,22
WS-313-01,WOMEN IN SPORTS,3.0,0.0,RECE,002,MW,2:30 PM,3:45 PM,"Scraba, Paula",Open,,,crosslisted with PHED 313 01 ,MC,10,10
WS-366-01,WOMEN IN EAST ASIA,3.0,0.0,PLAS,013,MWF,10:30 AM,11:20 AM,"Dalton, William",Open,,,crosslisted with HIST 394C 01,MC,10,10
WS-482-01,"WOMEN, MINORITIES & THE MEDIA",3.0,0.0,MUPB,107,T,5:30 PM,8:00 PM,"Lee, Anne",Open,,,CROSSLISTED WITH JMC 482 01 ,MC,5,5
