Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
ECO-101-01,MICROECONOMIC PRINCIPLES,3.0,0.0,WALS,G21,MWF,10:30 AM,11:20 AM,"Wilson, David",Open,,,,MC,48,48
ECO-101-02,MICROECONOMIC PRINCIPLES,3.0,0.0,WALS,G21,MWF,11:30 AM,12:20 PM,"Wilson, David",Open,,,,MC,75,75
ECO-102-01,MACROECONOMIC PRINCIPLES,3.0,0.0,SWAN,209,MWF,11:30 AM,12:20 PM,"Posmanick, Benjamin",Open,,,,MC,48,48
ECO-102-02,MACROECONOMIC PRINCIPLES,3.0,0.0,SWAN,209,MWF,1:30 PM,2:20 PM,"Posmanick, Benjamin",Open,,,,MC,48,48
ECO-102-03,MACROECONOMIC PRINCIPLES,3.0,0.0,SWAN,209,MWF,9:30 AM,10:20 AM,"Posmanick, Benjamin",Open,,,,MC,40,40
ECO-308-01,ENVIRONMENTAL ECONOMICS,3.0,0.0,SWAN,209,MWF,10:30 AM,11:20 AM,"Posmanick, Benjamin",Open,,,,MC,20,20
ECO-313-01,INTERMEDIATE MICROECONOMICS,3.0,0.0,SWAN,203,MWF,1:30 PM,2:20 PM,"Wilson, David",Open,"ECO 101, AND (MATH 122 OR MATH 151)",,,MC,25,25
ECO-313-55,INTERMEDIATE MICROECONOMICS,3.0,0.0,,,,,,"Wilson, David",Open,"ECO 101, AND (MATH 122 OR MATH 151)",,,MC,30,30
ECO-490-55,ECONOMICS SEMINAR,3.0,0.0,,,,,,"Posmanick, Benjamin",Open,,,,MC,0,0
