Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
EDL-522-F1L01,SCH/COMM RELATIONSHIPS,3.0,0.0,,,S,2:30 PM,5:00 PM,"Bovino, Stephen",Open,,,"course meets syncronously on 2/3, 3/23 and 4/20.",OL,20,20
EDL-599C-F1L01,INTERNSHIP/PRACTI SUPERVISION,0.0,0.0,,,,,,"Bynoe, Tyrone",Open,,,,OL,18,18
EDL-620-F1L01,THE SUPERINTENDENCY,3.0,0.0,,,S,11:30 AM,2:00 PM,"Morris, Genelle",Open,EDL-515,,course meets syncrounously 2/3 3/23 & 4/20,OL,18,18
EDL-698A-F1L01,SCH DISTR LDR PRACTICUM,1.0,0.0,,,,,,"Bodziak, James",Open,,,,OL,18,18
EDL-698B-F1L01,SCH DISTR LDR INTERNSHP,2.0,0.0,,,,,,"Bodziak, James",Open,,,,OL,18,18
EDL-698C-F1L01,INTERNSHIP/PRACTICUM SUPERVIS,0.0,0.0,,,,,,"Bodziak, James",Open,,,,OL,18,18
