Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
COM-102-01,EFFECTIVE SPEAKING & PRESENTA,3.0,0.0,MUPB,104,TTH,1:00 PM,2:15 PM,"Sackett, Scott",Open,,,,MC,15,15
COM-500-71L01,FIND YOUR VOICE: INTRO TO MC,3.0,0.0,,,,,,"Harris, Heather",Open,,,,SBUOL,20,20
COM-520-71L01,EMBRACING RESEARCH: MARKETING,3.0,0.0,,,,,,"Hoffmann, Pauline",Open,,,,SBUOL,20,20
COM-555-72L01,MASTERING THE RESEARCH: FIEL,1.0,0.0,,,,,,"LaDelfa, Gina",Open,,,,SBUOL,20,20
COM-580-72L01,EMBRACING THE AUDIENCE,3.0,0.0,,,,,,"Harris, Heather",Open,,,,SBUOL,20,20
COM-590-71L01,EMBRACING STRATEGIC THINKING,3.0,0.0,,,,,,"DeSimone, Kimberly",Open,,,,SBUOL,20,20
COM-620-72L01,INTEGRATING CREATIVE: STRATE,3.0,0.0,,,,,,"Lee, Jeremiah",Open,,,,SBUOL,20,20
COM-640-71L01,"INTEGRATING DIGITAL MEDIA, MO",3.0,0.0,,,,,,"Weinheimer, Megan",Open,,,,SBUOL,20,20
