Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
BI-300B-01,ADV.GEN.BUS.INTERNSHIP,1.0,3.0,,,,,,"Kasperski, Michael",Open,,,,MC,0,0
BI-301A-01,ACCOUNTING INTERNSHIP,1.0,3.0,,,,,,"Kasperski, Michael",Open,,,,MC,0,0
BI-301B-01,ADV.ACCT.INTERNSHIP,1.0,3.0,,,,,,"Kasperski, Michael",Open,,,,MC,0,0
BI-302A-01,MGMT SCIENCE INTERNSHIP,1.0,3.0,,,,,,"Kasperski, Michael",Open,,,,MC,0,0
BI-302B-01,ADV.MGMT.SCI.INTERNSHIP,1.0,3.0,,,,,,"Kasperski, Michael",Open,,,,MC,0,0
BI-303A-01,MARKETING INTERNSHIP,1.0,3.0,,,,,,"Kasperski, Michael",Open,,,,MC,0,0
BI-303B-01,ADV.MKT.INTERNSHIP,1.0,3.0,,,,,,"Kasperski, Michael",Open,,,,MC,0,0
BI-309A-01,SPORTS MANAGEMENT INTERN,1.0,3.0,,,,,,"Kasperski, Michael",Open,,,,MC,0,0
BIF-401-01,BIOINFORMATICS SEMINAR,1.0,0.0,,,,,,"Benington, Joel",Open,,,,MC,15,15
BIO-101-01,FUNDAMENTALS OF BIOLOGY,4.0,0.0,WALS,201,S,1:10 PM,3:40 PM,"Messer, Christopher",Open,,,,MC,32,32
BIO-101-02,FUNDAMENTALS OF BIOLOGY,4.0,0.0,WALS,201,T,1:10 PM,3:40 PM,"Altman, Karie",Open,,,,MC,32,32
BIO-101-03,FUNDAMENTALS OF BIOLOGY,4.0,0.0,WALS,201,T,10:35 AM,1:05 PM,"Messer, Christopher",Open,,,,MC,32,32
BIO-106-03,BIOLOGICAL SCIENCE II,4.0,0.0,WALS,G21,S,3:45 PM,6:15 PM,"Dykstra, Kaitlyn",Open,,,,MC,28,28
BIO-106-04,BIOLOGICAL SCIENCE II,4.0,0.0,WALS,G21,S,3:45 PM,6:15 PM,"Dykstra, Kaitlyn",Open,,,,MC,28,28
BIO-112-01,HUMAN ECOLOGY,3.0,0.0,DELA,212,T,8:00 AM,10:30 AM,"Altman, Karie",Open,,,,MC,16,16
BIO-112-02,HUMAN ECOLOGY,3.0,0.0,DELA,212,S,8:00 AM,10:30 AM,"Altman, Karie",Open,,,,MC,16,16
BIO-212-01,HUMAN ANATOMY & PHYSIOLOGY,4.0,0.0,WALS,G21,S,1:10 PM,3:40 PM,"Jodush, Stephen",Open,,,,MC,40,40
BIO-292-01,CELL BIOLOGY,3.0,0.0,DELA,306,W,8:00 AM,10:30 AM,"Ryan, Sean",Open,,,,MC,24,24
BIO-310-01,PLANT BIOLOGY,3.0,0.0,WALS,204,S,10:35 AM,1:05 PM,"Vogel, Kevin",Open,BIO 106,,,MC,8,8
BIO-319-01,RESEARCH PARTICIPATION II,1.0,0.0,,,,,,"Dykstra, Kaitlyn",Open,,,,MC,0,0
BIO-319-02,RESEARCH PARTICIPATION II,1.0,0.0,,,,,,"Zhang, Xiao-Ning",Open,,,,MC,0,0
BIO-319-03,RESEARCH PARTICIPATION II,1.0,0.0,,,,,,"Altman, Karie",Open,,,,MC,0,0
BIO-332-01,PHYSIOL & ANAT OF HUMAN II,4.0,0.0,DELA,212,M,10:35 AM,1:05 PM,"Jodush, Stephen",Open,,,,MC,20,20
BIO-350-01,NEUROBIOLOGY,3.0,0.0,DELA,212,T,1:10 PM,3:40 PM,"Benington, Joel",Open,BIO 105 & BIO 106,,,MC,16,16
BIO-399-01,BIOLOGY SEMINAR,1.0,0.0,DELA,221,T,,,"Zhang, Xiao-Ning",Open,BIO 292,,,MC,6,6
BIO-419-01,RES. PARTICIPATION IV,2.0,0.0,,,,,,"Ryan, Sean",Open,,,,MC,0,0
BIO-419-02,RES. PARTICIPATION IV,2.0,0.0,,,,,,"Zhang, Xiao-Ning",Open,,,,MC,0,0
BIO-419-03,RES. PARTICIPATION IV,2.0,0.0,,,,,,"Dykstra, Kaitlyn",Open,,,,MC,6,6
BIO-457-01,SENIOR FACULTY COLLOQUIUM,0.0,0.0,WALS,G21,TH,,,"Altman, Karie",Open,,,,MC,25,25
BIO-460-01,BIOCHEMISTRY SEMINAR,1.0,0.0,WALS,107,MS,10:35 AM,1:05 PM,"Zhang, Xiao-Ning",Open,,,,MC,10,10
BIO-466-01,MOLECULAR BIOLOGY,4.0,0.0,WALS,201,M,8:00 AM,10:30 AM,"Zhang, Xiao-Ning",Open,BIO 371,,,MC,10,10
BIO-472-01,IMMUNOLOGY,3.0,0.0,WALS,204,S,1:10 PM,3:40 PM,"Schwingel, Johanna",Open,,,,MC,8,8
BIOL-101-01,FUNDAMENTALS OF BIOLOGY LAB,0.0,0.0,WALS,G01,M,,,"Schwingel, Johanna",Open,,,,MC,16,16
BIOL-101-02,FUNDAMENTALS OF BIOLOGY LAB,0.0,0.0,WALS,G01,T,,,"Vogel, Kevin",Open,,,,MC,16,16
BIOL-101-03,FUNDAMENTALS OF BIOLOGY LAB,0.0,0.0,WALS,G01,W,,,"Ryan, Sean",Open,,,,MC,16,16
BIOL-101-04,FUNDAMENTALS OF BIOLOGY LAB,0.0,0.0,WALS,G01,TH,,,"Schwingel, Johanna",Open,,,,MC,16,16
BIOL-101-05,FUNDAMENTALS OF BIOLOGY LAB,0.0,0.0,WALS,G01,M,,,"Benington, Joel",Open,,,,MC,16,16
BIOL-101-06,FUNDAMENTALS OF BIOLOGY LAB,0.0,0.0,WALS,G01,T,,,"Ryan, Sean",Open,,,,MC,16,16
BIOL-106-01,BIOLOGICAL SCI II LAB,0.0,0.0,DELA,215,M,,,"Knittel, Romy",Open,,,,MC,14,14
BIOL-106-02,BIOLOGICAL SCI II LAB,0.0,0.0,DELA,215,T,,,"Knittel, Romy",Open,,,,MC,14,14
BIOL-106-03,BIOLOGICAL SCI II LAB,0.0,0.0,DELA,215,W,,,"Knittel, Romy",Open,,,,MC,14,14
BIOL-106-04,BIOLOGICAL SCI II LAB,0.0,0.0,DELA,215,TH,,,"Knittel, Romy",Open,,,,MC,14,14
BIOL-106-05,BIOLOGICAL SCI II LAB,0.0,0.0,DELA,215,F,,,"Knittel, Romy",Open,,,,MC,0,0
BIOL-212-01,HUMAN ANAT. & PHYSIOL. LAB,0.0,0.0,DELA,205,M,,,"Jodush, Stephen",Open,,,,MC,10,10
BIOL-212-02,HUMAN ANAT. & PHYSIOL. LAB,0.0,0.0,DELA,205,W,,,"Messer, Christopher",Open,,,,MC,10,10
BIOL-212-03,HUMAN ANAT. & PHYSIOL. LAB,0.0,0.0,DELA,205,F,,,"Messer, Christopher",Open,,,,MC,10,10
BIOL-293-01,GENETICS/CELL BIO LAB,1.0,0.0,WALS,105,TH,,,"Dykstra, Kaitlyn",Open,,,,MC,10,10
BIOL-293-02,GENETICS/CELL BIO LAB,1.0,0.0,WALS,105,T,,,"Dykstra, Kaitlyn",Open,,,,MC,10,10
BIOL-310-01,PLANT BIOLOGY LAB,0.0,0.0,WALS,G03,M,,,"Vogel, Kevin",Open,,,,MC,8,8
BIOL-332-01,PHYSIO/ANAT OF HUMAN LAB II,0.0,0.0,DELA,205,T,,,"Jodush, Stephen",Open,,,,MC,10,10
BIOL-332-02,PHYSIO/ANAT OF HUMAN LAB II,0.0,0.0,DELA,205,TH,,,"Jodush, Stephen",Open,,,,MC,10,10
BIOL-350-01,NEUROBIOLOGY LAB,0.0,0.0,,,,,,"Benington, Joel",Open,,,,MC,16,16
BIOL-466-01,MOLECULAR BIO LAB,0.0,0.0,WALS,107,TH,,,"Zhang, Xiao-Ning",Open,,,,MC,10,10
BIOL-472-01,IMMUNOLOGY LAB,0.0,0.0,WALS,205,W,,,"Schwingel, Johanna",Open,,,,MC,8,8
BIS-220-01,BUSINESS TECHNOLOGY APPLICATI,3.0,0.0,WALS,104,M,10:35 AM,1:05 PM,"Kulsum, Ummee",Open,,,,MC,25,25
BIS-220-02,BUSINESS TECHNOLOGY APPLICATI,3.0,0.0,WALS,104,W,8:00 AM,10:30 AM,"Kulsum, Ummee",Open,,,,MC,25,25
BIS-220-03,BUSINESS TECHNOLOGY APPLICATI,3.0,0.0,WALS,104,S,10:35 AM,1:05 PM,"Kulsum, Ummee",Open,,,,MC,25,25
BIS-220-04,BUSINESS TECHNOLOGY APPLICATI,3.0,0.0,WALS,104,W,1:10 PM,3:40 PM,"Kulsum, Ummee",Open,,,,MC,25,25
BIS-310-01,BUSINESS INFORMATION SYSTEMS,3.0,0.0,SWAN,109,S,3:45 PM,6:15 PM,"Case, Carl",Open,,,,MC,25,25
BIS-310-02,BUSINESS INFORMATION SYSTEMS,3.0,0.0,SWAN,109,S,3:45 PM,6:15 PM,"Case, Carl",Open,,,,MC,25,25
BIS-310-03,BUSINESS INFORMATION SYSTEMS,3.0,0.0,SWAN,109,S,3:45 PM,6:15 PM,"Case, Carl",Open,,,,MC,25,25
BIS-420-01,INFO & DECISION SUPPORT SYS,3.0,0.0,WALS,104,H,,,"Jahed, Mohammed",Open,BIS 310,,,MC,25,25
BLX-210-01,BUSINESS LAW I,3.0,0.0,PLAS,006,S,1:10 PM,3:40 PM,"Smothermon, Charles",Open,,,,MC,24,24
BLX-210-02,BUSINESS LAW I,3.0,0.0,PLAS,006,M,8:00 AM,10:30 AM,"Smothermon, Charles",Open,,,,MC,24,24
BLX-210-03,BUSINESS LAW I,3.0,0.0,PLAS,006,T,8:00 AM,10:30 AM,"Smothermon, Charles",Open,,,,MC,24,24
BNS-401-01,BEHAVIORAL NEUROSCIENCE SEMIN,3.0,0.0,,,,,,"Hager, Audrey",Open,,,,MC,16,16
BONA-101-01,INTRO TO ST. BONAVENTURE,3.0,0.0,,,,,,"Zawicki, Kathy",Open,,,,OL,0,0
