Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
HON-102-01,FRESHMAN HONORS SEMINAR II,0.0,0.0,WALS,G21,TH,7:30 PM,8:30 PM,"Simpson, Scott",Open,,,course meets 1st Thursday of the month only ,MC,150,150
HON-299AA-01,"BODY IN SCIENCE, THEO & CULT",3.0,0.0,DELA,020,TT,4:30 PM,5:45 PM,"Foerst, Anne",Open,,,,MC,15,15
HON-299E-01,SP TOP: PSYCHOPATH/CINEMA,3.0,0.0,DELA,123,T,6:00 PM,8:30 PM,"Vogel, Stephanie",Open,,,,MC,14,14
HON-299P-01,MEDIA & PUBLIC OPINION,3.0,0.0,PLAS,014,TT,6:00 PM,7:15 PM,"Gross, Benjamin",Open,,,,MC,15,15
HON-300-01,HONORS EXPERIENCE,0.0,0.0,,,,,,"Simpson, Scott",Open,,,,MC,15,15
HON-498-01,HP -- HONORS PROJECT,1.0,3.0,,,,,,"Simpson, Scott",Open,,,,MC,15,15
HON-499-01,HONORS PROJECT,2.0,0.0,,,,,,"Simpson, Scott",Open,,,,MC,15,15
