Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
QMX-210-01,QUANTITATIVE APPL FOR BUS STU,3.0,0.0,SWAN,103,MWF,9:30 AM,10:20 AM,"Bysiek, Evelyn",Open,,,,MC,30,30
QMX-210-02,QUANTITATIVE APPL FOR BUS STU,3.0,0.0,SWAN,103,MWF,10:30 AM,11:20 AM,"Bysiek, Evelyn",Open,,,,MC,30,30
QMX-211-01,INTRODUCTION TO STATISTICS,3.0,0.0,SWAN,101,MWF,8:30 AM,9:20 AM,"Tripathi, Janhavi Shankar",Open,MATH-122 or MATH 151 ,,,MC,30,30
QMX-211-02,INTRODUCTION TO STATISTICS,3.0,0.0,SWAN,101,MWF,9:30 AM,10:20 AM,"Tripathi, Janhavi Shankar",Open,MATH-122 or MATH 151 ,,,MC,30,30
QMX-212-01,STATISTICAL APPS FOR BUSINESS,3.0,0.0,PLAS,201,MWF,9:30 AM,10:20 AM,"Pinheiro, Ryan",Open,QMX 211 & IT 120 ,,,MC,30,30
QMX-212-02,STATISTICAL APPS FOR BUSINESS,3.0,0.0,SWAN,103,MWF,11:30 AM,12:20 PM,"Pinheiro, Ryan",Open,QMX 211 & IT 120 ,,,MC,30,30
QMX-212-03,STATISTICAL APPS FOR BUSINESS,3.0,0.0,SWAN,103,MWF,1:30 PM,2:20 PM,"Kwiatkowski, Sally",Open,QMX 211 & IT 120 ,,,MC,30,30
QMX-212-04,STATISTICAL APPS FOR BUSINESS,3.0,0.0,SWAN,103,MWF,2:30 PM,3:20 PM,"Kwiatkowski, Sally",Open,QMX 211 & IT 120 ,,,MC,30,30
